lsoa_code,population_density
E01003176,15177
E01003029,12293.2
E01003032,9561.1
E01003041,15833.3
E01003057,17705.1
E01003043,15648
E01003044,20997
E01003051,11455.8
E01003071,13096.8
E01003074,3316.5
E01003026,4318.2
E01003027,11241.9
E01003028,10849.2
E01003030,10305.2
E01003033,10895.6
E01003018,13487
E01003171,15781.4
E01003173,13032.7
E01003177,16491.8
E01003178,13949.8
E01003021,13395.5
E01003022,13956.9
E01003023,20352.9
E01003024,14834.8
E01003025,13056.8
E01003136,14252.6
E01003137,14028.4
E01003159,12251.4
E01003160,14356.4
E01003162,16983.5
E01003031,17392.3
E01003156,13672.9
E01003157,9450.4
E01003158,13086.2
E01003161,11067.2
E01003163,7983
E01003132,10147
E01003172,15955.7
E01003174,13443.3
E01003175,13000.8
E01003179,22161.4
E01003164,12380.2
E01003165,8973.8
E01003168,7990.4
E01003169,12372.4
E01003170,5927.3
E01003130,12692
E01003131,11748.6
E01003135,18701.6
E01003138,11164
E01003151,14527.9
E01003079,7582.3
E01003080,13174
E01003133,9528.2
E01003134,9906.9
E01003152,8659.7
E01003064,9586.9
E01003066,5472.7
E01003081,9041.4
E01003166,11093.8
E01003167,8844.2
E01003116,6338.8
E01003117,11044.2
E01003118,8812.7
E01003153,17759.6
E01003155,11078.8
E01003083,10384.1
E01003084,10680.4
E01003085,7976
E01003149,6611.4
E01003154,10645.3
E01003065,13657.1
E01003068,8849
E01003082,10956.2
E01003086,10693.7
E01003087,12407.5
E01003113,10917.9
E01003114,12205.4
E01003119,12096
E01003120,16547.7
E01003148,9459.3
E01003150,11979
E01003062,13525.1
E01003063,11047.1
E01003067,10366.7
E01003069,5821.3
E01003070,12048.3
E01003115,14894.2
E01003141,11312.1
E01003144,3062.8
E01003145,9981.9
E01003147,11706.2
E01003139,11982.8
E01003140,10888.7
E01003142,10000
E01003143,9293.7
E01003146,13461.2
E01003013,5640.2
E01003014,8055.7
E01003016,7225.2
E01003017,12536.5
E01032582,7151.4
E01003244,28473.1
E01003245,18101.7
E01003247,10632
E01003249,18431.9
E01003246,9991.7
E01003248,6430.3
E01003251,7555.6
E01003252,22053.1
E01003253,9588.7
E01003297,4566.7
E01003299,11838.6
E01003301,12230.5
E01003302,14829.2
E01003305,20193.8
E01003207,19296.9
E01003209,15007.9
E01003210,9411.1
E01003212,8933.8
E01003215,8882.1
E01003338,14416.8
E01003339,11304.3
E01003340,11817.1
E01003341,7590.6
E01003343,11452.2
E01003199,6221.6
E01003201,10721.1
E01003204,6272.4
E01003205,15455.6
E01003206,6859.8
E01003211,7722.1
E01003213,9160.4
E01003214,11366.5
E01033324,8593
E01033325,22483.6
E01003198,8824.6
E01003200,1997.6
E01003202,6750.4
E01003203,13265.9
E01003336,12158.7
E01003337,10831.4
E01003342,10366.7
E01003344,8913.7
E01003345,12227.1
E01003273,8145.9
E01003277,11714.5
E01003278,13863
E01003279,8614.9
E01003282,11175.4
E01003283,9101.4
E01003284,11709.3
E01003286,9127.2
E01003272,13418.6
E01003274,10831.1
E01003275,8734.6
E01003276,4125
E01003225,7487.1
E01003231,8970.5
E01003232,8382.5
E01003233,13292.3
E01003280,8265.5
E01003281,4312.5
E01003285,7951.9
E01003287,8099.5
E01003292,13466.2
E01003293,14122.4
E01003295,9840.2
E01033320,10702.6
E01033322,17957.1
E01003319,13653
E01003320,8490.4
E01003323,8908.6
E01003325,13572.5
E01003226,10154.7
E01003227,6643.7
E01003228,11097
E01003229,7893.3
E01003230,9473.4
E01003318,5876.5
E01003321,10498.5
E01003322,11040.5
E01003324,18092.2
E01003254,4457.5
E01003255,11012.7
E01003260,7722
E01003261,8440.3
E01003262,9465.8
E01003217,12010
E01003218,10907.2
E01003220,9287.3
E01003222,8600.3
E01003224,11387.2
E01003263,5104.9
E01003268,6317.8
E01003269,7582.8
E01003270,5837.5
E01003271,5527.2
E01003307,11050.4
E01003308,11351.5
E01003314,10606.1
E01003315,9082.1
E01003316,10214.4
E01003216,7901.7
E01003219,8224.3
E01003221,6472.9
E01003223,5595.8
E01003346,4822.3
E01003349,11244.5
E01003351,9204.8
E01003354,5617.1
E01003309,10207.9
E01003310,9931.3
E01003311,8531
E01003312,8850.8
E01003313,6702.2
E01003256,9586.5
E01003257,7352
E01003258,12870.2
E01003259,8472.7
E01003193,5163.6
E01003194,5357.8
E01003195,7581.6
E01003196,6598.1
E01003197,7806
E01003347,12246.3
E01003348,5530.5
E01003350,5456.4
E01003352,10246.3
E01003353,6899.9
E01003264,7231.5
E01003265,7134.8
E01003266,10064.3
E01003267,5324
E01003329,9313.3
E01003330,6133.4
E01003331,9675.8
