lsoa_code,building_density
E01004059,18.74498704
E01004060,27.82207906
E01003936,25.08357962
E01003937,27.81218433
E01003943,22.33765881
E01003977,36.39381406
E01004037,25.42817179
E01004038,29.46262842
E01004042,25.16160569
E01004043,28.83476039
E01003986,15.70847791
E01003987,25.59083233
E01004024,27.89860701
E01004035,11.29733502
E01003960,24.40069062
E01003961,28.25773158
E01003994,31.75724642
E01003980,38.0818452
E01004039,23.37053126
E01004040,24.81005614
E01004041,23.28903777
E01004044,25.21658215
E01003992,20.85929545
E01003995,33.66597604
E01003998,33.08614944
E01003999,26.32886885
E01032639,35.76369873
E01032719,25.50225127
E01003966,32.26071153
E01003971,23.85237361
E01003963,27.52340544
E01003972,39.61265249
E01003973,31.5125578
E01003923,27.55769364
E01003969,17.52596965
E01003991,24.07641815
E01003993,16.16754306
E01003997,26.10424262
E01003983,27.45751849
E01003988,22.56735397
E01003989,26.76415722
E01003990,27.56052998
E01004007,22.6593468
E01003912,25.84712369
E01004011,26.17259422
E01004012,38.40365274
E01004013,26.19549623
E01004014,29.57801956
E01003911,29.87681433
E01003916,37.04610304
E01003917,28.0165973
E01003918,32.02930021
E01003925,27.87037981
E01003919,33.95748584
E01003920,24.90390903
E01003921,33.15909533
E01003922,37.26859319
E01003924,23.35992435
E01003926,39.04188108
E01004008,28.23643982
E01004010,24.84452777
E01004067,39.75077857
E01003984,26.82912301
E01004003,21.52368227
E01004004,32.06328671
E01004005,26.85564986
E01004006,26.32028707
E01003913,45.70146249
E01003914,28.55510471
E01003915,29.62602472
E01004050,17.04153293
E01004052,26.59538183
E01004061,22.95625154
E01004062,40.57719295
E01004063,30.63686523
E01004065,34.70357791
E01004066,29.99924219
E01004000,27.26552044
E01004001,51.30237398
E01004019,28.1565904
E01004064,25.00823463
E01004068,24.69852471
E01004045,24.28577746
E01004047,20.30087744
E01004048,34.28221537
E01004049,16.27950498
E01004051,18.23207523
E01003953,39.34383043
E01003955,30.1819978
E01004015,7.096517468
E01004021,25.63420099
E01004046,25.24109897
E01004002,54.89776444
E01004016,40.65505147
E01004017,22.2930992
E01004020,22.67147524
E01003952,36.6821977
E01003954,35.49814885
E01003956,35.45893857
E01004071,34.97192711
E01004072,38.81469647
E01004069,8.409427459
E01004070,22.61013196
E01004073,27.71572949
E01004074,19.00075247
E01004075,11.83863017
E01003949,19.66551973
E01003950,10.18470691
E01003957,29.05756637
E01003958,28.10801548
E01004018,50.7216443
E01003945,5.926455121
E01003946,24.01779282
E01003947,19.21314476
E01003948,12.45972133
E01003951,22.05333953
E01003930,37.10715451
E01003932,46.21749343
E01003933,22.17568532
E01032583,39.73356051
E01032584,32.25525477
E01032640,53.05828328
E01032834,56.94099613
E01032638,46.49684122
E01032637,55.29340182
E01032646,42.94677971
E01032803,46.51533647
E01003976,28.5626757
E01004222,32.27448055
E01004223,4.113536153
E01004226,36.2703784
E01004198,27.52553047
E01004199,32.71420433
E01004201,33.24273515
E01004228,33.11072201
E01004230,22.03112069
E01004232,20.54636182
E01004233,19.33571285
E01004234,7.77329032
E01004229,38.35972687
E01004231,25.35906406
E01032764,20.25207264
E01032765,28.92987523
E01032784,28.12871334
E01004200,31.62456094
E01004202,27.35317506
E01004203,30.23388963
E01004204,30.91440121
E01004311,26.04002359
E01004315,28.9853389
E01004259,36.13390744
E01004260,19.34675617
E01004263,27.77538481
E01004266,34.49095232
E01004235,25.05422556
E01004236,23.20890856
E01004237,34.58205689
E01004239,24.34564395
E01004312,41.05369772
E01004313,28.92937537
E01004316,38.80758955
E01004264,22.0316459
E01032785,23.03204777
E01032786,21.9282872
E01004207,24.02121324
E01004209,12.81146209
E01004212,25.88207757
E01032787,28.95484496
E01004240,18.3582842
E01004241,15.2318469
E01004267,16.57095598
