lsoa_code,road_density_km_per_sqkm,road_density,street_density_km_per_sqkm,edge_density_km_per_sqkm,n_nodes,n_edges,total_edge_length,avg_street_length,circuity_avg,status
E01001594,18.9932240386839,0.0189932240386839,9496.61201934199,18993.22403868398,20.0,44.0,2801.0409499461166,63.66002158968448,1.0875356338313231,success
E01001595,10.6090286439597,0.0106090286439597,5304.514321979851,10609.028643959704,15.0,30.0,3990.4772038484784,133.01590679494927,1.027858098058822,success
E01001596,16.820479514949398,0.0168204795149494,8410.239757474728,16820.47951494946,21.0,40.0,4891.895510461887,122.29738776154716,1.0199805561559458,success
E01001597,5.1600976837846995,0.0051600976837847,2701.854068072946,5160.097683784745,14.0,25.0,1664.1662348629468,67.02816328672219,1.033939854228474,success
E01001598,7.831071617219999,0.00783107161722,4214.216496814614,7831.07161722003,19.0,38.0,3633.1472443957946,97.75717680209746,1.0203550848115444,success
E01001599,5.2185717997718,0.0052185717997718,2917.251062752274,5218.571799771809,12.0,20.0,2397.209744794164,111.67267827228568,1.042162131435124,success
E01001600,10.4538205665797,0.0104538205665797,5917.112875224616,10453.820566579703,22.0,36.0,3153.923934894346,71.40786013605099,1.038650041297289,success
E01001601,16.3275454781426,0.0163275454781426,8828.981359023011,16327.545478142674,21.0,43.0,3999.295011829565,94.0254245859904,1.0460605765175317,success
E01001602,31.271741913571503,0.0312717419135715,16056.193257338771,31271.74191357156,43.0,99.0,8031.986738991024,82.47901999066681,1.0219371363022318,success
E01001603,22.9954809514485,0.0229954809514485,11497.74047572425,22995.480951448502,21.0,50.0,4830.584194425798,96.61168388851594,1.0403770798431895,success
E01001604,10.9880699585553,0.0109880699585553,5494.034979277693,10988.069958555385,10.0,18.0,2658.1214138273926,147.6734118792996,1.0015645659215082,success
E01001605,8.6739840725071,0.0086739840725071,4411.733648159446,8673.984072507112,22.0,44.0,5786.433629988628,127.95987420728576,1.0194261977353447,success
E01001606,12.4084606311912,0.0124084606311912,6268.114907104162,12408.460631191278,13.0,22.0,2647.7958644013324,111.46083588928744,1.000343364454222,success
E01001607,11.8892055840933,0.0118892055840933,5944.602792046656,11889.20558409331,13.0,26.0,2465.053954959796,94.80976749845372,1.040527805215184,success
E01001608,10.1360692335223,0.0101360692335223,5158.896235916822,10136.069233522358,15.0,32.0,4708.933788675416,140.98109746897347,1.0001760658486114,success
E01001609,13.595373263039201,0.0135953732630392,6797.686631519633,13595.373263039266,21.0,44.0,4565.834585171592,103.76896784480893,1.0508181850543408,success
E01001610,14.1463309477104,0.0141463309477104,7179.980940224629,14146.330947710489,12.0,24.0,3141.44375269839,122.64939581825018,1.087875945379452,success
E01001611,3.1750377634247,0.0031750377634247,1880.6409745847689,3175.037763424704,7.0,10.0,646.4738375986768,54.70284488718936,1.0673371102094689,success
E01001613,8.5750633849231,0.0085750633849231,4613.60377708638,8575.063384923138,53.0,105.0,6273.869733560177,57.21190916385971,1.1300095842000637,success
E01001614,9.6887880076116,0.0096887880076116,5140.20387984686,9688.78800761163,31.0,68.0,8621.963884395042,123.6275796469788,1.0807229689014888,success
E01001615,9.8548391422008,0.0098548391422008,5118.003619732099,9854.839142200844,57.0,117.0,9365.028748422445,81.0604319050934,1.0489789441768036,success
E01001617,6.7874511477711,0.0067874511477711,3393.7255738855843,6787.451147771168,22.0,44.0,4720.110546030477,107.27523968251086,1.0159288874760903,success
