lsoa_code,n_oas,population_density,population_density_median,population_density_min,population_density_max,population_density_sd,data_source,density_category
E01001698,0,NA,NA,NA,NA,NA,imputed,Very High
E01001699,0,NA,NA,NA,NA,NA,imputed,Very High
E01001700,0,NA,NA,NA,NA,NA,imputed,Very High
E01001701,0,NA,NA,NA,NA,NA,imputed,Very High
E01001702,0,NA,NA,NA,NA,NA,imputed,Very High
E01001703,0,NA,NA,NA,NA,NA,imputed,Very High
E01001704,0,NA,NA,NA,NA,NA,imputed,Very High
E01001705,0,NA,NA,NA,NA,NA,imputed,Very High
E01001706,0,NA,NA,NA,NA,NA,imputed,Very High
E01001708,0,NA,NA,NA,NA,NA,imputed,Very High
E01001709,0,NA,NA,NA,NA,NA,imputed,Very High
E01001710,0,NA,NA,NA,NA,NA,imputed,Very High
E01001711,0,NA,NA,NA,NA,NA,imputed,Very High
E01001712,0,NA,NA,NA,NA,NA,imputed,Very High
E01001713,0,NA,NA,NA,NA,NA,imputed,Very High
E01001714,0,NA,NA,NA,NA,NA,imputed,Very High
E01001715,0,NA,NA,NA,NA,NA,imputed,Very High
E01001716,0,NA,NA,NA,NA,NA,imputed,Very High
E01001717,0,NA,NA,NA,NA,NA,imputed,Very High
E01001718,0,NA,NA,NA,NA,NA,imputed,Very High
E01001719,0,NA,NA,NA,NA,NA,imputed,Very High
E01001720,0,NA,NA,NA,NA,NA,imputed,Very High
E01001722,0,NA,NA,NA,NA,NA,imputed,Very High
E01001723,0,NA,NA,NA,NA,NA,imputed,Very High
E01001724,0,NA,NA,NA,NA,NA,imputed,Very High
E01001725,0,NA,NA,NA,NA,NA,imputed,Very High
E01001726,0,NA,NA,NA,NA,NA,imputed,Very High
E01001727,0,NA,NA,NA,NA,NA,imputed,Very High
E01001728,0,NA,NA,NA,NA,NA,imputed,Very High
E01001729,0,NA,NA,NA,NA,NA,imputed,Very High
E01001730,0,NA,NA,NA,NA,NA,imputed,Very High
E01001731,0,NA,NA,NA,NA,NA,imputed,Very High
E01001732,0,NA,NA,NA,NA,NA,imputed,Very High
E01001733,0,NA,NA,NA,NA,NA,imputed,Very High
E01001734,0,NA,NA,NA,NA,NA,imputed,Very High
E01001735,0,NA,NA,NA,NA,NA,imputed,Very High
E01001736,0,NA,NA,NA,NA,NA,imputed,Very High
E01001737,0,NA,NA,NA,NA,NA,imputed,Very High
E01001738,0,NA,NA,NA,NA,NA,imputed,Very High
E01001739,0,NA,NA,NA,NA,NA,imputed,Very High
E01001740,0,NA,NA,NA,NA,NA,imputed,Very High
E01001741,0,NA,NA,NA,NA,NA,imputed,Very High
E01001742,0,NA,NA,NA,NA,NA,imputed,Very High
E01001744,0,NA,NA,NA,NA,NA,imputed,Very High
E01001745,0,NA,NA,NA,NA,NA,imputed,Very High
E01001746,0,NA,NA,NA,NA,NA,imputed,Very High
E01001747,0,NA,NA,NA,NA,NA,imputed,Very High
E01001748,0,NA,NA,NA,NA,NA,imputed,Very High
E01001749,0,NA,NA,NA,NA,NA,imputed,Very High
E01001750,0,NA,NA,NA,NA,NA,imputed,Very High
E01001751,0,NA,NA,NA,NA,NA,imputed,Very High
E01001752,0,NA,NA,NA,NA,NA,imputed,Very High
E01001753,0,NA,NA,NA,NA,NA,imputed,Very High
E01001754,0,NA,NA,NA,NA,NA,imputed,Very High
E01001755,0,NA,NA,NA,NA,NA,imputed,Very High
E01001756,0,NA,NA,NA,NA,NA,imputed,Very High
E01001757,0,NA,NA,NA,NA,NA,imputed,Very High
E01001758,0,NA,NA,NA,NA,NA,imputed,Very High
E01001759,0,NA,NA,NA,NA,NA,imputed,Very High
E01001760,0,NA,NA,NA,NA,NA,imputed,Very High
E01001761,0,NA,NA,NA,NA,NA,imputed,Very High
E01001762,0,NA,NA,NA,NA,NA,imputed,Very High
E01001763,0,NA,NA,NA,NA,NA,imputed,Very High
E01001764,0,NA,NA,NA,NA,NA,imputed,Very High
E01001765,0,NA,NA,NA,NA,NA,imputed,Very High
E01001767,0,NA,NA,NA,NA,NA,imputed,Very High
E01001768,0,NA,NA,NA,NA,NA,imputed,Very High
E01001769,0,NA,NA,NA,NA,NA,imputed,Very High
E01001770,0,NA,NA,NA,NA,NA,imputed,Very High
E01001772,0,NA,NA,NA,NA,NA,imputed,Very High
E01001773,0,NA,NA,NA,NA,NA,imputed,Very High
E01001774,0,NA,NA,NA,NA,NA,imputed,Very High
E01001775,0,NA,NA,NA,NA,NA,imputed,Very High
E01001776,0,NA,NA,NA,NA,NA,imputed,Very High
E01001777,0,NA,NA,NA,NA,NA,imputed,Very High
E01001779,0,NA,NA,NA,NA,NA,imputed,Very High
E01001780,0,NA,NA,NA,NA,NA,imputed,Very High
E01001781,0,NA,NA,NA,NA,NA,imputed,Very High
E01001782,0,NA,NA,NA,NA,NA,imputed,Very High
E01001783,0,NA,NA,NA,NA,NA,imputed,Very High
E01001784,0,NA,NA,NA,NA,NA,imputed,Very High
E01001785,0,NA,NA,NA,NA,NA,imputed,Very High
E01001786,0,NA,NA,NA,NA,NA,imputed,Very High
E01001787,0,NA,NA,NA,NA,NA,imputed,Very High
E01001788,0,NA,NA,NA,NA,NA,imputed,Very High
E01001789,0,NA,NA,NA,NA,NA,imputed,Very High
E01001790,0,NA,NA,NA,NA,NA,imputed,Very High
E01001791,0,NA,NA,NA,NA,NA,imputed,Very High
E01001792,0,NA,NA,NA,NA,NA,imputed,Very High
E01001793,0,NA,NA,NA,NA,NA,imputed,Very High
E01001794,0,NA,NA,NA,NA,NA,imputed,Very High
E01001795,0,NA,NA,NA,NA,NA,imputed,Very High
E01001796,0,NA,NA,NA,NA,NA,imputed,Very High
