lsoa_code,borough,imd_score,imd_quintile,lsoa_name,ptal_score,ptal_category,ptal_original,accessibility_index,ai_median,ai_min,ai_max,data_source,ptal_score_z,ai_z
E01033741,Greenwich,19.599,Q2,Greenwich 002G,1.5,Very Poor,1b,4.17485828726,4.34157889493,0,8.69349881979,measured,-1.609723175354075,-1.1742863740012393
E01033742,Greenwich,13.105,Q1_Least,Greenwich 007F,1.5,Very Poor,1b,4.46220206193,3.9065731342,3.11714391344,8.26579774009,measured,-1.609723175354075,-1.1529509151652633
E01033744,Greenwich,29.363,Q4,Greenwich 007G,3,Moderate,3,13.8895682233,16.8216882585,3.12729576507,26.6231739126,measured,-0.6428964992312065,-0.4529629551039087
E01033745,Greenwich,22.101,Q3,Greenwich 002I,2,Poor,2,5.44712792553,5.21645311821,1.75112715127,11.7524457564,measured,-1.2874476166464521,-1.0798195405828164
E01033746,Greenwich,21.824,Q3,Greenwich 038E,4,Good,4,19.2339590452,19.6349147675,14.829610110500001,26.8814341548,measured,0.0016546181840391264,-0.056138522366615165
E01001714,Hackney,44.248,Q5_Most,Hackney 002A,4,Good,4,19.3859362929,24.1220038503,0,36.4210462234,measured,0.0016546181840391264,-0.04485411463572861
E01001716,Hackney,37.112,Q5_Most,Hackney 007B,6,Excellent,6a,34.1732529456,36.6265389469,4.99566664743,44.5145638623,measured,1.2907568530145304,1.0531135935582379
E01001717,Hackney,27.475,Q4,Hackney 007C,3,Moderate,3,14.6821320976,15.0804631059,5.54143056073,24.0813618127,measured,-0.6428964992312065,-0.3941145811155413
E01001718,Hackney,20.149,Q2,Hackney 007D,6,Excellent,6a,39.4716655705,36.1089648786,27.6368505203,53.1368717186,measured,1.2907568530145304,1.4465241157955653
E01001720,Hackney,19.773,Q2,Hackney 007F,6,Excellent,6a,26.0432569995,27.9157359043,11.3970713681,37.2166980109,measured,1.2907568530145304,0.44945620079281146
E01001722,Hackney,31.702,Q4,Hackney 029A,3,Moderate,3,12.1481922473,11.6391727934,8.89588990048,17.9581472237,measured,-0.6428964992312065,-0.582261233782728
E01001723,Hackney,22.842,Q3,Hackney 006A,4,Good,4,16.9895323598,17.0272021954,15.3320041396,20.0962796047,measured,0.0016546181840391264,-0.22278863758735498
E01001724,Hackney,25.324,Q3,Hackney 006B,4,Good,4,18.5523542319,18.8356708266,16.3913504869,20.3643433526,measured,0.0016546181840391264,-0.10674811519063368
E01001725,Hackney,26.575,Q3,Hackney 004A,4,Good,4,15.1543598405,15.1174006162,11.7686140578,17.2796164522,measured,0.0016546181840391264,-0.3590513695271933
E01001726,Hackney,32.84,Q4,Hackney 004B,4,Good,4,19.2827593547,19.0237859616,18.1343487231,20.9491167724,measured,0.0016546181840391264,-0.05251506821064491
E01001727,Hackney,22.608,Q3,Hackney 006C,3,Moderate,3,10.3347541133,8.93867784203,5.94154566302,16.728658272,measured,-0.6428964992312065,-0.7169101737292444
E01001728,Hackney,30.577,Q4,Hackney 029B,3,Moderate,3,10.1728800935,10.1366331802,8.74871876281,11.7909092863,measured,-0.6428964992312065,-0.7289294231110109
E01001729,Hackney,42.01,Q5_Most,Hackney 019A,4,Good,4,19.7891772806,20.6659365167,13.512348101,27.5902695159,measured,0.0016546181840391264,-0.014913213692486667
E01001730,Hackney,45.752,Q5_Most,Hackney 019B,5,Very Good,5,20.5835453881,19.562580563,17.7125339174,27.1761055013,measured,0.6462057355992847,0.04406912576359712
E01001731,Hackney,31.157,Q4,Hackney 017A,6,Excellent,6a,25.430693612,26.0515434717,18.3241574719,33.2443963226,measured,1.2907568530145304,0.40397297794087483
E01001732,Hackney,39.137,Q5_Most,Hackney 019C,5,Very Good,5,20.3919546637,20.9592359183,18.0374812246,21.6118655936,measured,0.6462057355992847,0.029843392081057924
E01001733,Hackney,32.404,Q4,Hackney 015A,4,Good,4,16.9427146968,16.0263984827,12.1554960688,22.6773663563,measured,0.0016546181840391264,-0.22626487897410585
E01001734,Hackney,36.255,Q5_Most,Hackney 017B,6,Excellent,6a,27.1136750591,27.7277449585,19.8187522625,31.7292634306,measured,1.2907568530145304,0.5289354255441021
E01001735,Hackney,35.185,Q5_Most,Hackney 019D,6,Excellent,6a,25.9741572436,26.4968190943,22.9536601489,28.8661203048,measured,1.2907568530145304,0.44432549977354097
E01001736,Hackney,21.541,Q3,Hackney 012A,3,Moderate,3,10.2237691774,10.2314525785,3.942267042,14.3379534479,measured,-0.6428964992312065,-0.7251508761214481
E01001737,Hackney,24.573,Q3,Hackney 012B,2,Poor,2,8.58796659868,9.09326010839,4.99858947,11.0251772124,measured,-1.2874476166464521,-0.8466102626077068
E01001738,Hackney,22.939,Q3,Hackney 012C,3,Moderate,3,13.0346690939,14.1690028793,7.10895619377,16.6516797741,measured,-0.6428964992312065,-0.5164397616057123
E01001739,Hackney,25.798,Q3,Hackney 012D,3,Moderate,3,12.3499277436,11.4631851909,8.39012199518,18.674418942,measured,-0.6428964992312065,-0.5672822443057265
E01001740,Hackney,43.901,Q5_Most,Hackney 014A,4,Good,4,17.0911706662,17.4912722699,8.42625300561,21.9079142023,measured,0.0016546181840391264,-0.21524192840652803
E01001741,Hackney,17.772,Q2,Hackney 009A,3,Moderate,3,11.2012104271,11.4430192925,6.12662132228,18.537383743,measured,-0.6428964992312065,-0.652575238902548
E01001742,Hackney,28.995,Q4,Hackney 008A,2,Poor,2,7.9330936774,7.81883428447,6.10795290784,9.5409660049,measured,-1.2874476166464521,-0.8952349953718357
E01001744,Hackney,32.017,Q4,Hackney 031A,5,Very Good,5,22.4770407258,22.5719800285,15.8024657172,28.9891723724,measured,0.6462057355992847,0.1846623642285912
E01001745,Hackney,36.826,Q5_Most,Hackney 016A,3,Moderate,3,14.3898245009,14.245111513,8.37364372592,19.485684907,measured,-0.6428964992312065,-0.41581860690833344
E01001746,Hackney,35.266,Q5_Most,Hackney 016B,3,Moderate,3,11.7528062498,9.21767974499,8.69211560908,19.1746550433,measured,-0.6428964992312065,-0.611618896685537
E01001747,Hackney,31.063,Q4,Hackney 014B,5,Very Good,5,21.6727944615,21.8847152224,12.8694498942,26.7772613741,measured,0.6462057355992847,0.12494656531954468
E01001748,Hackney,32.844,Q4,Hackney 020A,3.8349056603773586,Good,NA,16.800513366309715,16.819430948023964,NA,NA,imputed,-0.10475712289866647,-0.236823418606923
E01001749,Hackney,31.098,Q4,Hackney 020B,5,Very Good,5,20.9047652488,20.5808940494,17.7694053784,23.9510731312,measured,0.6462057355992847,0.06791990562870323
E01001750,Hackney,36.039,Q5_Most,Hackney 031D,4,Good,4,16.7618143304,15.391783944,12.3232331041,25.0989954798,measured,0.0016546181840391264,-0.2396968467457157
E01001751,Hackney,18.737,Q2,Hackney 031B,4,Good,4,17.517989498,18.4901274584,8.94308489622,25.9085666124,measured,0.0016546181840391264,-0.18355035747638884
E01001752,Hackney,26.838,Q3,Hackney 025A,3.8349056603773586,Good,NA,16.800513366309715,16.819430948023964,NA,NA,imputed,-0.10475712289866647,-0.236823418606923
E01001753,Hackney,35.92,Q5_Most,Hackney 025B,3,Moderate,3,11.6490188812,12.8829077653,8.76191283686,13.4695372695,measured,-0.6428964992312065,-0.619325175107621
E01001754,Hackney,31.459,Q4,Hackney 025C,3.8349056603773586,Good,NA,16.800513366309715,16.819430948023964,NA,NA,imputed,-0.10475712289866647,-0.236823418606923
E01001755,Hackney,40.073,Q5_Most,Hackney 025D,3,Moderate,3,13.9949019465,13.9681644405,11.3385787088,16.2104829545,measured,-0.6428964992312065,-0.4451418588649013
E01001756,Hackney,23.435,Q3,Hackney 030C,6,Excellent,6a,25.218352596,25.2503605316,21.9363947086,30.1071581503,measured,1.2907568530145304,0.3882065218509169
E01001757,Hackney,31.873,Q4,Hackney 016C,5,Very Good,5,23.7124531685,23.425497267,22.5628040903,24.7728785688,measured,0.6462057355992847,0.27639252733008673
E01001758,Hackney,38.882,Q5_Most,Hackney 016D,5,Very Good,5,24.059975092,23.2931024072,12.3188351665,34.2528728799,measured,0.6462057355992847,0.30219625216090523
E01001759,Hackney,28.934,Q4,Hackney 016E,5,Very Good,5,21.1427716809,21.8461001568,13.9565283473,23.5373012361,measured,0.6462057355992847,0.08559203526018345
E01001760,Hackney,39.233,Q5_Most,Hackney 017C,6,Excellent,6a,31.5450802546,32.0358785114,26.9226372423,38.039867846,measured,1.2907568530145304,0.8579700922693579
E01001761,Hackney,47.161,Q5_Most,Hackney 016F,6,Excellent,6a,25.2123881647,25.6235206897,16.9177861177,28.9845208884,measured,1.2907568530145304,0.38776365901657395
E01001762,Hackney,27.09,Q3,Hackney 017D,6,Excellent,6a,26.400699307,25.7133061475,18.1487070066,35.9842566101,measured,1.2907568530145304,0.4759965204731695
E01001763,Hackney,22.12,Q3,Hackney 020C,5,Very Good,5,20.3106518948,20.9241906237,12.7860324047,30.101359987,measured,0.6462057355992847,0.023806609550762952
E01001764,Hackney,28.73,Q4,Hackney 010A,4,Good,4,16.2212160271,17.7026116295,8.11588145821,19.5002639438,measured,0.0016546181840391264,-0.27983661612162014
E01001765,Hackney,43.409,Q5_Most,Hackney 010B,3,Moderate,3,13.1094370492,13.6142574417,6.06541467554,19.6030161401,measured,-0.6428964992312065,-0.5108881931599184
E01001767,Hackney,33.95,Q5_Most,Hackney 010D,4,Good,4,16.1411754935,16.2971373152,11.5354095601,20.9771081174,measured,0.0016546181840391264,-0.28577967687452327
E01001768,Hackney,24.277,Q3,Hackney 006D,4,Good,4,15.7930726118,18.3925746114,10.6108213971,19.2730917914,measured,0.0016546181840391264,-0.3116265382228315
E01001769,Hackney,26.759,Q3,Hackney 006E,4,Good,4,19.9969243048,20.5538355349,18.1839929574,21.4890093971,measured,0.0016546181840391264,5.12135571495025e-4
E01001770,Hackney,34.261,Q5_Most,Hackney 010E,4,Good,4,19.1646694578,18.2621777457,16.8605941946,23.0171318591,measured,0.0016546181840391264,-0.06128331849603279
E01001772,Hackney,41.78,Q5_Most,Hackney 024A,3,Moderate,3,14.752077112,14.7110163556,13.6594514193,15.9268243175,measured,-0.6428964992312065,-0.38892111911266064
E01001773,Hackney,38.205,Q5_Most,Hackney 025E,4,Good,4,15.3307968154,15.5410886264,13.0864198473,17.9130681299,measured,0.0016546181840391264,-0.34595081142585193
E01001774,Hackney,28.204,Q4,Hackney 024B,3,Moderate,3,14.2765957453,14.4558240591,2.72733902919,20.9259135251,measured,-0.6428964992312065,-0.4242259143467041
E01001775,Hackney,39.266,Q5_Most,Hackney 024C,3,Moderate,3,11.5339600586,11.9548273523,8.01588552295,14.5699387422,measured,-0.6428964992312065,-0.6278683661898619
E01001776,Hackney,45.938,Q5_Most,Hackney 025F,4,Good,4,17.1454832582,17.6375323458,14.7429529435,18.0952759642,measured,0.0016546181840391264,-0.21120918375346592
E01001777,Hackney,34.27,Q5_Most,Hackney 033A,4,Good,4,18.9424107759,18.603965797,9.68936488819,27.5566586109,measured,0.0016546181840391264,-0.07778616761486834
E01001779,Hackney,30.639,Q4,Hackney 026A,3.8349056603773586,Good,NA,16.800513366309715,16.819430948023964,NA,NA,imputed,-0.10475712289866647,-0.236823418606923
E01001780,Hackney,37.728,Q5_Most,Hackney 032D,6,Excellent,6a,28.6088844563,28.072307079,23.8106039526,34.906987564,measured,1.2907568530145304,0.6399556784859374
E01001781,Hackney,44.66,Q5_Most,Hackney 026B,3,Moderate,3,11.6531149392,9.7741440789,6.77394563585,16.6097498475,measured,-0.6428964992312065,-0.6190210401843949
E01001782,Hackney,21.076,Q3,Hackney 026C,3.8349056603773586,Good,NA,16.800513366309715,16.819430948023964,NA,NA,imputed,-0.10475712289866647,-0.236823418606923
E01001783,Hackney,38.594,Q5_Most,Hackney 026D,4,Good,4,18.7944174007,19.2933917139,15.6827253242,21.2530126309,measured,0.0016546181840391264,-0.08877477026757255
E01001784,Hackney,26.639,Q3,Hackney 032A,5,Very Good,5,20.853731401,21.1762865345,14.3101523766,27.4546270453,measured,0.6462057355992847,0.06413060982708435
