lsoa_code,road_density,street_density_km_per_sqkm,edge_density_km_per_sqkm,n_nodes,n_edges,total_edge_length,avg_street_length,circuity_avg,status
E01004600,0.006631748181457152,3897.7433278727126,6631.748181457152,6,8,835.0467808466653,98.1580702236954,1.049644851745701,success
E01004601,0.010743085772921239,5812.519549520036,10743.085772921238,23,47,3249.230262490701,65.11066166725149,1.1009314468115052,success
E01004602,0.020887169592544486,12021.240834605518,20887.169592544484,18,38,2970.6203708663797,81.41371360183973,1.0356820767316612,success
E01004604,0.015684632127991302,8046.004989699631,15684.632127991303,29,63,5908.196721474874,94.71329147456757,1.0109015266147268,success
E01004605,0.021388742826985704,10694.371413492854,21388.74282698571,21,48,4130.031444334861,86.04232175697626,1.1418629915758716,success
E01004606,0.033687897285482424,16843.94864274121,33687.897285482424,23,54,3560.018140894393,65.92626186841467,1.0115198119125488,success
E01004607,0.013923591249077888,6961.795624538946,13923.591249077886,18,38,2400.348423364578,63.16706377275208,1.0791213688029728,success
E01004608,0.021247451212793297,12291.87718509054,21247.451212793298,21,39,2043.9436806870801,56.306820151052946,1.11915105872854,success
E01004609,0.005872985424519266,3117.259526889655,5872.9854245192655,11,18,1203.2729044702944,63.86724389351336,1.0012177239981115,success
E01004610,0.009282257194437296,4820.184092486377,9282.257194437298,12,23,2653.147785868497,114.81277743631523,1.0507400032104617,success
E01004611,0.02817440896025714,14125.140084146638,28174.408960257137,17,37,3464.5552082415406,91.41802502723708,1.0628406629753828,success
E01004612,0.017446068803638422,8723.034401819206,17446.06880363842,15,30,2111.8101491324114,70.39367163774702,1.0091947464461537,success
E01004613,0.016452632805993364,8563.71525148631,16452.632805993366,8,17,1631.9010877003143,94.3796007095622,1.6355703003180835,success
E01004614,0.017301146272883143,8650.573136441571,17301.146272883147,17,38,2491.262857200229,65.55954887369023,1.0007758771258572,success
E01004615,0.008260707533631149,4130.353766815575,8260.70753363115,7,12,1457.6817138551799,121.47347615459832,1.0214712093303724,success
E01004616,0.008525521347267766,4262.760673633885,8525.521347267768,5,8,897.3922684183362,112.17403355229206,1.1691874695921194,success
