lsoa_code,lsoa_name,borough,imd_score,imd_quintile,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,status,data_source
E01004541,Wandsworth 007D,Wandsworth,38.578,Q5_Most,80,9.243850708007812,6.9915771484375,9.311419447599244,0.0,40.777587890625,0.7568359375,13.9007568359375,completed,measured
E01004542,Wandsworth 021D,Wandsworth,6.98,Q1_Least,80,31.8377685546875,30.5023193359375,25.477007009394526,0.0,98.1689453125,7.26470947265625,47.2564697265625,completed,measured
E01004543,Wandsworth 027A,Wandsworth,7.903,Q1_Least,80,30.306930541992188,26.1993408203125,21.800713935837454,0.0,85.9619140625,14.68963623046875,44.53887939453125,completed,measured
E01004544,Wandsworth 021E,Wandsworth,12.086,Q1_Least,80,27.81112670898437,29.78515625,25.88584101223064,0.0,87.451171875,0.4669189453125,43.73626708984375,completed,measured
E01004546,Wandsworth 027C,Wandsworth,6.62,Q1_Least,80,23.297653198242188,16.24755859375,20.780799164259097,0.0,99.334716796875,7.60040283203125,32.67974853515625,completed,measured
E01004547,Wandsworth 029C,Wandsworth,20.336,Q2,80,14.959335327148438,11.7401123046875,13.605839630876844,0.0,81.18896484375,6.47735595703125,17.8863525390625,completed,measured
E01004548,Wandsworth 029D,Wandsworth,17.492,Q2,80,8.018875122070312,0.5889892578125,12.444134204063896,0.0,52.3193359375,0.0274658203125,11.3372802734375,completed,measured
E01004549,Wandsworth 027D,Wandsworth,19.334,Q2,80,2.1463775634765625,0.7415771484375,3.295466492746884,0.0,17.6513671875,0.1312255859375,2.91748046875,completed,measured
E01004550,Wandsworth 017D,Wandsworth,13.202,Q1_Least,80,15.603179931640623,14.8529052734375,6.929134948356601,0.0,36.602783203125,10.99395751953125,19.41986083984375,completed,measured
E01004551,Wandsworth 012E,Wandsworth,17.486,Q2,80,7.5390625,0.616455078125,13.19733784181472,0.0,51.153564453125,0.0,7.56378173828125,completed,measured
E01004552,Wandsworth 008C,Wandsworth,10.655,Q1_Least,80,2.8067779541015625,0.28076171875,5.762673375181357,0.0,28.790283203125,0.0,1.947021484375,completed,measured
E01004553,Wandsworth 015A,Wandsworth,11.274,Q1_Least,80,29.90196228027344,31.0791015625,23.26109631391364,0.0,90.2099609375,11.10076904296875,42.52166748046875,completed,measured
E01004554,Wandsworth 009A,Wandsworth,6.516,Q1_Least,80,36.21894836425781,43.2769775390625,26.43413459945788,0.0,84.002685546875,7.275390625,58.1939697265625,completed,measured
E01004556,Wandsworth 009B,Wandsworth,4.709,Q1_Least,80,22.435531616210938,14.61181640625,21.76085036649697,0.0,81.94580078125,0.91094970703125,41.0552978515625,completed,measured
E01004557,Wandsworth 015B,Wandsworth,8.329,Q1_Least,80,10.98114013671875,4.87060546875,14.414304848186896,0.0,66.986083984375,0.23651123046875,15.44952392578125,completed,measured
E01004558,Wandsworth 015C,Wandsworth,5.821,Q1_Least,80,32.751922607421875,30.70068359375,24.4206155713192,0.0,87.060546875,13.55133056640625,55.3863525390625,completed,measured
E01004559,Wandsworth 015D,Wandsworth,7.589,Q1_Least,80,37.96562194824219,39.22119140625,25.07623218574268,0.0,93.81103515625,16.827392578125,58.09478759765625,completed,measured
E01004560,Wandsworth 001A,Wandsworth,17.433,Q2,80,24.56024169921875,17.7947998046875,21.4627475665198,0.0,88.83056640625,9.48028564453125,33.09173583984375,completed,measured
E01004562,Wandsworth 002B,Wandsworth,29.861,Q4,80,13.443145751953123,7.97119140625,16.461243167178058,0.0,74.310302734375,0.05340576171875,19.54498291015625,completed,measured
E01004563,Wandsworth 002C,Wandsworth,30.537,Q4,80,11.35833740234375,9.429931640625,10.06142164032786,0.0,42.022705078125,4.022216796875,15.80657958984375,completed,measured
E01004564,Wandsworth 002D,Wandsworth,18.491,Q2,80,10.195465087890623,5.0689697265625,12.283752842442556,0.0,62.310791015625,0.9979248046875,15.753173828125,completed,measured
E01004565,Wandsworth 005A,Wandsworth,19.254,Q2,80,6.1676788330078125,2.5421142578125,7.601248068260143,0.0,34.89990234375,0.11444091796875,9.98687744140625,completed,measured
E01004566,Wandsworth 001B,Wandsworth,11.738,Q1_Least,80,14.269332885742188,12.109375,11.059894093611808,0.0,51.837158203125,7.34710693359375,21.2738037109375,completed,measured
E01004567,Wandsworth 002E,Wandsworth,31.614,Q4,80,8.502349853515625,3.515625,11.184153877190749,0.0,39.44091796875,0.06561279296875,12.77923583984375,completed,measured
E01004568,Wandsworth 013A,Wandsworth,23.695,Q3,0,14.686946783873827,14.686946783873827,8.0,0.0,29.68694678387383,9.686946783873827,19.68694678387383,no_data,predicted
E01004569,Wandsworth 023A,Wandsworth,24.659,Q3,80,17.049484252929688,15.765380859375,11.294704973016758,0.0,46.820068359375,8.87298583984375,24.267578125,completed,measured
E01004570,Wandsworth 023B,Wandsworth,33.572,Q4,80,34.05052185058594,30.6121826171875,21.55624489922931,0.146484375,80.267333984375,17.54913330078125,47.68524169921875,completed,measured
E01004571,Wandsworth 023C,Wandsworth,24.607,Q3,80,21.5789794921875,15.2587890625,18.904802871917685,0.0,75.457763671875,7.3883056640625,29.46929931640625,completed,measured
E01004572,Wandsworth 016A,Wandsworth,22.976,Q3,80,18.814926147460938,16.2445068359375,11.824586111633764,0.0,59.539794921875,10.43701171875,24.98779296875,completed,measured
E01004573,Wandsworth 023D,Wandsworth,27.314,Q3,80,39.91844177246094,32.6934814453125,23.598163189700365,3.753662109375,93.829345703125,19.390869140625,58.64410400390625,completed,measured
E01004574,Wandsworth 013B,Wandsworth,34.899,Q5_Most,3,16.28235422042569,16.28235422042569,8.0,1.2823542204256917,31.28235422042569,11.282354220425692,21.28235422042569,insufficient,predicted
E01004575,Wandsworth 013C,Wandsworth,29.395,Q4,80,37.55912780761719,38.39111328125,26.155118534982485,0.0,97.3876953125,13.11492919921875,54.02679443359375,completed,measured
E01004576,Wandsworth 013D,Wandsworth,26.61,Q3,12,10.215646351595314,10.215646351595314,8.0,0.0,25.215646351595314,5.215646351595314,15.215646351595314,insufficient,predicted
E01004577,Wandsworth 003C,Wandsworth,14.287,Q1_Least,80,12.338104248046877,5.419921875,15.915825002484665,0.0,62.677001953125,0.4302978515625,19.12994384765625,completed,measured
E01004579,Wandsworth 004B,Wandsworth,18.872,Q2,80,12.013473510742188,6.15234375,17.238906073039633,0.0,96.533203125,0.00457763671875,17.230224609375,completed,measured
E01004580,Wandsworth 004C,Wandsworth,18.717,Q2,80,10.088577270507812,2.4932861328125,19.323074541598768,0.0,96.533203125,0.2532958984375,10.59112548828125,completed,measured
E01004581,Wandsworth 004D,Wandsworth,15.428,Q2,80,16.022109985351562,13.739013671875,11.599363492053984,0.0,44.134521484375,6.011962890625,24.88861083984375,completed,measured
E01004582,Wandsworth 001C,Wandsworth,9.047,Q1_Least,80,18.34747314453125,15.826416015625,19.91070272585592,0.0,77.874755859375,2.447509765625,22.57537841796875,completed,measured
E01004583,Wandsworth 001D,Wandsworth,12.262,Q1_Least,80,18.349533081054688,13.3392333984375,15.68664257175992,0.0,62.677001953125,3.55224609375,28.25164794921875,completed,measured
E01004585,Wandsworth 008D,Wandsworth,10.139,Q1_Least,80,11.965103149414062,3.7506103515625,18.564840029892974,0.0,77.606201171875,0.2593994140625,13.7908935546875,completed,measured
E01004586,Wandsworth 009C,Wandsworth,10.15,Q1_Least,80,6.013107299804688,1.1871337890625,11.486047282956834,0.0,56.329345703125,0.2349853515625,4.51202392578125,completed,measured
E01004587,Wandsworth 009D,Wandsworth,8.468,Q1_Least,80,23.24737548828125,22.83935546875,11.315025207955909,0.0,49.755859375,16.69464111328125,29.9652099609375,completed,measured
E01004588,Wandsworth 008E,Wandsworth,12.896,Q1_Least,80,8.93096923828125,1.5045166015625,13.205698890324724,0.0,61.4013671875,0.03509521484375,15.73028564453125,completed,measured
