lsoa_code,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,processing_time,timestamp,borough,imd_score,imd_quintile,__order
E01003206,80,20.53657532,15.87524414,12.88384914,3.302001953,58.85009766,10.91766357,26.85546875,19.26217794,2025-08-09T20:45:36.928418,Lewisham,14.285,Q1_Least,20250809_204550
E01003206,80,18.41644287,15.80810547,11.55347347,1.190185547,56.26831055,10.4675293,25.46691895,13.03500581,2025-08-09T21:32:41.551572,Lewisham,14.285,Q1_Least,20250809_213252
E01003221,100,11.19256592,11.1907959,8.924787521,0,34.12475586,1.902770996,16.54663086,16.26882863,2025-08-09T19:51:58.127445,Lewisham,31.619,Q4,20250809_195203
E01003222,80,15.60089111,12.10327148,13.53439713,0.689697266,64.54467773,4.823303223,21.2020874,18.25490355,2025-08-09T20:41:08.402546,Lewisham,22.103,Q3,20250809_204129
E01003229,100,11.11810303,5.88684082,15.28133869,0,75.84838867,2.616882324,13.9755249,17.81251121,2025-08-09T19:52:43.210068,Lewisham,32.515,Q4,20250809_195247
E01003230,80,14.81681824,11.70043945,12.46278763,0,48.46191406,5.627441406,24.93896484,16.28095818,2025-08-09T20:39:12.656113,Lewisham,21.999,Q3,20250809_203939
E01003231,80,13.85231018,4.046630859,17.36623001,0,59.44213867,1.560974121,26.69372559,13.32196069,2025-08-09T20:37:48.567767,Lewisham,23.637,Q3,20250809_203811
E01003240,96,2.55616498,1.162719727,2.87174058,0,11.23657227,0.219726563,4.531860352,14.66032147,2025-08-09T19:55:57.751741,Lewisham,32.442,Q4,20250809_195622
E01003343,100,7.396179199,5.59387207,6.862783432,0,32.36083984,1.512145996,11.60125732,17.28907156,2025-08-09T20:14:33.602556,Lewisham,21.817,Q3,20250809_201508
E01003926,100,9.858337402,4.550170898,12.04644203,0,48.84643555,0.520324707,14.42260742,16.77483749,2025-08-09T19:04:28.281285,Southwark,31.441,Q4,20250809_190508
E01003929,100,2.146484375,0,4.460264683,0,17.98095703,0,0.823974609,23.06686139,2025-08-09T19:51:41.857615,Southwark,22.973,Q3,20250809_195203
E01003936,100,16.7543335,16.19873047,14.15406227,0,83.66699219,7.690429688,21.92382813,16.50169516,2025-08-09T19:42:03.753775,Southwark,14.247,Q1_Least,20250809_194306
E01003937,100,11.94909668,5.972290039,15.36508179,0,76.88598633,0.09765625,17.3324585,17.92860031,2025-08-09T19:03:52.024036,Southwark,24.291,Q3,20250809_190508
E01003966,91,10.66800594,9.222412109,8.199774742,0.024414063,40.69824219,4.12902832,14.96887207,13.29134059,2025-08-09T19:47:10.545423,Southwark,33.346,Q4,20250809_194731
E01003976,100,9.50982666,5.706787109,11.02632427,0,43.89038086,0.83770752,13.96331787,20.992028,2025-08-09T19:49:02.945587,Southwark,30.428,Q4,20250809_194922
E01003979,100,9.339233398,5.810546875,8.517637253,0,33.64868164,2.569580078,14.07470703,16.79472065,2025-08-09T19:53:52.867754,Southwark,29.514,Q4,20250809_195356
E01003990,100,30.92474365,28.79943848,18.48080635,1.928710938,73.93188477,14.93682861,44.03533936,16.00874853,2025-08-09T19:58:13.115181,Southwark,31.077,Q4,20250809_195818
E01003998,100,20.58544922,18.11218262,11.84125614,0,49.2980957,11.62109375,30.03082275,18.25691175,2025-08-09T19:43:48.357112,Southwark,25.146,Q3,20250809_194428
E01004022,100,17.07635498,12.02697754,15.39540291,0,79.89501953,5.599975586,24.1897583,19.12691808,2025-08-09T19:46:45.278762,Southwark,24.603,Q3,20250809_194731
E01004051,80,25.99250793,23.07739258,14.30219555,0,54.93774414,16.57714844,35.13946533,15.17770004,2025-08-09T20:46:37.310851,Southwark,9.731,Q1_Least,20250809_204648
E01004051,80,26.69578552,26.11083984,14.05213928,0,54.93774414,17.12341309,38.80767822,10.27952433,2025-08-09T21:33:27.569653,Southwark,9.731,Q1_Least,20250809_213338
E01004054,100,36.77105713,45.76721191,26.68431091,0,72.10693359,0.077819824,60.02655029,16.24896121,2025-08-09T20:01:18.483789,Southwark,8.354,Q1_Least,20250809_200127
E01004054,100,35.75354004,45.76721191,26.52098846,0,72.10693359,0.077819824,58.79821777,10.59691834,2025-08-09T20:12:18.854522,Southwark,8.354,Q1_Least,20250809_201238
E01004061,80,7.621917725,3.628540039,9.425761223,0,34.8815918,0.045776367,12.84942627,15.85235119,2025-08-09T20:40:28.207260,Southwark,21.531,Q3,20250809_204034
E01004069,100,38.37237549,37.57019043,14.48763466,5.737304688,78.65600586,28.11737061,47.59216309,16.57205439,2025-08-09T19:51:11.098134,Southwark,9.326,Q1_Least,20250809_195203
E01004070,80,36.13861084,31.91223145,17.71882248,7.861328125,78.16162109,23.00567627,48.27270508,17.78047633,2025-08-09T20:35:20.596980,Southwark,13.134,Q1_Least,20250809_203541
E01004075,100,45.41730118,44.43969727,15.36819744,15.18554688,77.28881836,33.32672119,56.82373047,17.99482775,2025-08-09T19:47:49.566626,Southwark,8.625,Q1_Least,20250809_194922
E01004216,100,30.19165039,29.98046875,14.85151577,1.251220703,63.72680664,18.82324219,40.13214111,14.26396227,2025-08-09T19:54:10.635253,Tower Hamlets,14.112,Q1_Least,20250809_195517
E01004223,100,31.46691895,22.37243652,27.59315681,0,94.42138672,6.680297852,52.37579346,22.74406362,2025-08-09T19:32:02.016585,Tower Hamlets,35.516,Q5_Most,20250809_193222
E01004246,100,8.21081543,7.995605469,7.234742641,0,29.81567383,2.244567871,10.90087891,19.19841409,2025-08-09T19:31:17.225607,Tower Hamlets,29.919,Q4,20250809_193222
E01004292,80,9.678421021,3.186035156,11.67704391,0,46.59423828,0.175476074,19.63348389,19.92489171,2025-08-09T20:44:02.893468,Tower Hamlets,7.73,Q1_Least,20250809_204415
E01004295,100,14.10467529,15.07263184,9.525602341,0,34.72290039,4.371643066,21.27532959,20.46229672,2025-08-09T19:55:13.826506,Tower Hamlets,31.081,Q4,20250809_195517
E01004313,100,14.54119873,4.620361328,18.42083931,0,63.65966797,0.59967041,25.88806152,17.36727834,2025-08-09T19:27:25.063603,Tower Hamlets,24.564,Q3,20250809_192845
E01004472,100,14.48156738,7.901000977,17.97722244,0,77.734375,1.026916504,19.37713623,13.25497198,2025-08-09T20:01:40.989938,Wandsworth,9.879,Q1_Least,20250809_200152
E01004472,100,14.11669922,7.901000977,17.63419342,0,77.734375,0.807189941,19.37713623,11.60968757,2025-08-09T20:12:50.035169,Wandsworth,9.879,Q1_Least,20250809_201341
E01004473,70,8.949410439,1.397705078,14.01734638,0,77.734375,0,14.10369873,7.7433002,2025-08-09T20:12:08.255602,Wandsworth,11.875,Q1_Least,20250809_201238
E01004517,100,24.94500732,17.07458496,23.53212166,0,82.97119141,5.416870117,43.06030273,21.56735039,2025-08-09T19:26:50.542122,Wandsworth,14.927,Q2,20250809_192845
E01004538,80,17.36671448,15.91796875,16.78706551,0,82.51342773,5.120849609,22.72033691,16.89756393,2025-08-09T20:42:37.157438,Wandsworth,25.102,Q3,20250809_204243
E01004539,100,9.157531738,6.945800781,9.210250854,0,35.83984375,0.96282959,13.82904053,19.88807893,2025-08-09T19:28:25.893626,Wandsworth,34.145,Q5_Most,20250809_192845
E01004540,100,9.076171875,5.215454102,11.39347172,0,59.15527344,0.47454834,13.56506348,18.93025804,2025-08-09T20:13:31.715179,Wandsworth,26.388,Q3,20250809_201341
E01004545,100,15.43151855,6.964111328,19.56869316,0,87.45117188,0.166320801,27.01263428,19.95953369,2025-08-09T19:44:48.482527,Wandsworth,10.551,Q1_Least,20250809_194548
E01004555,100,61.91241074,63.11035156,13.39041805,22.55249023,81.53686523,57.43255615,71.05560303,17.30006123,2025-08-09T19:46:05.772850,Wandsworth,4.844,Q1_Least,20250809_194731
E01004584,100,21.68493652,22.16796875,10.70868969,0,49.46899414,14.22729492,28.79333496,14.16407228,2025-08-09T20:00:22.205500,Wandsworth,32.114,Q4,20250809_200026
E01004594,100,12.70690918,10.84289551,10.41763878,0.042724609,46.39282227,3.472900391,19.56481934,12.97967291,2025-08-09T20:14:14.051572,Wandsworth,5.248,Q1_Least,20250809_201508
E01004600,100,11.83203125,8.563232422,12.8324585,0,70.91064453,1.745605469,17.10510254,20.50292802,2025-08-09T19:59:41.976127,Wandsworth,27.898,Q4,20250809_195948
E01004613,86,2.020263672,0.286865234,4.876848698,0,31.39038086,0.016784668,1.45111084,12.39192224,2025-08-09T19:58:55.253815,Wandsworth,32.542,Q4,20250809_195901
E01004639,100,16.12011719,15.69213867,9.250423431,1.135253906,49.1394043,9.352111816,21.71936035,20.67384315,2025-08-09T19:29:06.286659,Wandsworth,10.4,Q1_Least,20250809_193222
E01004644,100,19.81188965,17.72460938,10.44678497,3.485107422,50.79345703,11.32965088,25.83312988,19.66384959,2025-08-09T19:36:34.993925,Wandsworth,18.179,Q2,20250809_193817
E01004650,80,34.0940094,38.04321289,13.91874886,1.452636719,55.70068359,25.90484619,45.07293701,15.02076888,2025-08-09T20:43:12.076254,Westminster,5.964,Q1_Least,20250809_204324
