lsoa_code,image_id,gvi,method,model,vegetation_pixels,total_pixels,timestamp
E01002714,131083592340153,18.628342946370445,deeplearning,segformer,585997,3145728,2025-08-02T00:21:09.014335
E01002714,239520115274137,56.37515385945638,deeplearning,segformer,1773409,3145728,2025-08-02T00:21:10.376093
E01002714,286313783215334,6.001472473144531,deeplearning,segformer,188790,3145728,2025-08-02T00:21:11.707790
E01002714,1505462273325488,3.2305081685384116,color_threshold,hsv_rgb,101623,3145728,2025-08-02T00:21:13.067395
E01002714,1000734464304528,16.841761271158852,deeplearning,segformer,529796,3145728,2025-08-02T00:21:14.406488
E01002714,1082394076021800,14.964421590169271,deeplearning,segformer,470740,3145728,2025-08-02T00:21:15.751479
E01002714,23954099290883023,5.222177505493164,deeplearning,segformer,109517,2097152,2025-08-02T00:21:16.831669
E01002714,579173047167127,22.254117329915367,deeplearning,segformer,700054,3145728,2025-08-02T00:21:18.175660
E01002714,942310456561526,17.414824167887367,deeplearning,segformer,547823,3145728,2025-08-02T00:21:19.510458
E01002714,1074180354620722,0.6829738616943359,deeplearning,segformer,14323,2097152,2025-08-02T00:21:20.597075
E01002714,421313719780074,22.308063507080078,deeplearning,segformer,701751,3145728,2025-08-02T00:21:21.945483
E01002714,579509423653599,11.39351526896159,deeplearning,segformer,358409,3145728,2025-08-02T00:21:23.284613
E01002714,343784117274597,20.002524058024086,deeplearning,segformer,629225,3145728,2025-08-02T00:21:24.626219
E01002714,1447512046417107,11.019611358642578,deeplearning,segformer,231098,2097152,2025-08-02T00:21:25.704338
E01002714,180023704428414,21.00051244099935,deeplearning,segformer,660619,3145728,2025-08-02T00:21:27.051733
E01002714,210035658518999,3.8597424825032554,deeplearning,segformer,121417,3145728,2025-08-02T00:21:28.397002
E01002714,1239637144465767,1.2598514556884766,deeplearning,segformer,26421,2097152,2025-08-02T00:21:29.481764
E01002714,831426004137544,7.462819417317708,deeplearning,segformer,176070,2359296,2025-08-02T00:21:30.625443
E01002714,696292252315513,1.798248291015625,color_threshold,hsv_rgb,56568,3145728,2025-08-02T00:21:31.997614
E01002714,823144504969088,24.06320571899414,deeplearning,segformer,756963,3145728,2025-08-02T00:21:33.335881
E01002714,350886017364028,3.7752469380696616,deeplearning,segformer,118759,3145728,2025-08-02T00:21:34.677922
E01002714,740661307165802,22.368335723876953,deeplearning,segformer,703647,3145728,2025-08-02T00:21:36.031376
E01002714,316545674216281,1.9892374674479167,deeplearning,segformer,62576,3145728,2025-08-02T00:21:37.371646
E01002714,1110865763108996,27.237764994303387,deeplearning,segformer,856826,3145728,2025-08-02T00:21:38.716580
E01002714,133674053155064,3.2821973164876304,deeplearning,segformer,103249,3145728,2025-08-02T00:21:40.102669
E01002714,1369881746897779,27.967325846354168,deeplearning,segformer,879776,3145728,2025-08-02T00:21:41.457266
E01002714,1044750170942371,10.869216918945312,deeplearning,segformer,227944,2097152,2025-08-02T00:21:42.552425
E01002714,1272648926768225,55.382378896077476,deeplearning,segformer,1742179,3145728,2025-08-02T00:21:43.904584
E01002714,522580558756324,0.792694091796875,deeplearning,segformer,24936,3145728,2025-08-02T00:21:45.253024
E01002714,2087745494970713,0.4504203796386719,deeplearning,segformer,9446,2097152,2025-08-02T00:21:46.338156
E01002714,1023919532611987,8.564186096191406,deeplearning,segformer,179604,2097152,2025-08-02T00:21:47.419856
E01002714,665627356104426,2.0079612731933594,deeplearning,segformer,42110,2097152,2025-08-02T00:21:48.516170
E01002714,1008472133523976,5.5276552836100254,color_threshold,hsv_rgb,173885,3145728,2025-08-02T00:21:49.880241
E01002714,228481859846398,1.3835589090983071,color_threshold,hsv_rgb,43523,3145728,2025-08-02T00:21:51.244803
E01004073,526065691736637,9.355131785074871,deeplearning,segformer,294287,3145728,2025-08-02T00:21:53.295508
E01004073,133835928732036,23.642476399739586,deeplearning,segformer,743728,3145728,2025-08-02T00:21:54.908622
E01004073,1081186332806756,24.796295166015625,deeplearning,segformer,780024,3145728,2025-08-02T00:21:56.526294
E01004073,1021995838541458,30.379231770833332,deeplearning,segformer,955648,3145728,2025-08-02T00:21:58.230077
E01004073,178411927892171,40.933291117350265,deeplearning,segformer,1287650,3145728,2025-08-02T00:21:59.877806
E01004073,221107236070185,43.91848958333333,deeplearning,segformer,168647,384000,2025-08-02T00:22:00.837579
E01004073,340488844178865,32.881291707356766,deeplearning,segformer,1034356,3145728,2025-08-02T00:22:02.198328
E01004073,961427954610453,34.201113382975265,deeplearning,segformer,1075874,3145728,2025-08-02T00:22:03.576328
E01004073,996707947566163,25.18018086751302,deeplearning,segformer,792100,3145728,2025-08-02T00:22:04.935469
E01004073,259968082535951,33.258724212646484,deeplearning,segformer,1046229,3145728,2025-08-02T00:22:06.297276
E01004073,828161301413945,44.99947916666667,deeplearning,segformer,172798,384000,2025-08-02T00:22:06.981909
E01004073,3257850571202087,17.185211181640625,deeplearning,segformer,540600,3145728,2025-08-02T00:22:08.362486
E01004073,489297262290854,28.78119150797526,deeplearning,segformer,905378,3145728,2025-08-02T00:22:09.716085
E01004073,1497015427382685,19.536495208740234,deeplearning,segformer,614565,3145728,2025-08-02T00:22:11.079937
E01004073,479653829948832,58.88203125,deeplearning,segformer,226107,384000,2025-08-02T00:22:11.756612
E01004073,145430348082470,33.950042724609375,deeplearning,segformer,1067976,3145728,2025-08-02T00:22:13.129632
E01004073,1227111747723135,22.04411824544271,deeplearning,segformer,693448,3145728,2025-08-02T00:22:14.472598
E01004073,1433889967116051,7.4695587158203125,deeplearning,segformer,234972,3145728,2025-08-02T00:22:15.833020
E01004073,922605798533607,62.725162506103516,deeplearning,segformer,1973163,3145728,2025-08-02T00:22:17.202239
E01004073,167513725195042,53.27109375,deeplearning,segformer,204561,384000,2025-08-02T00:22:17.880739
E01004073,160031499402996,36.138343811035156,deeplearning,segformer,1136814,3145728,2025-08-02T00:22:19.259305
E01004073,863903457533071,42.07528432210286,deeplearning,segformer,1323574,3145728,2025-08-02T00:22:20.629519
E01004073,1132829030531967,20.096874237060547,deeplearning,segformer,632193,3145728,2025-08-02T00:22:22.004473
E01004073,1166570180474675,29.22983169555664,deeplearning,segformer,919491,3145728,2025-08-02T00:22:23.376450
E01004073,176934880970896,40.16380208333333,deeplearning,segformer,154229,384000,2025-08-02T00:22:24.061288
E01004073,2716446761986024,14.6240234375,deeplearning,segformer,460032,3145728,2025-08-02T00:22:25.424631
E01004073,1073668409919207,28.88072331746419,deeplearning,segformer,908509,3145728,2025-08-02T00:22:26.803104
E01004073,1347277098972954,15.74233373006185,deeplearning,segformer,495211,3145728,2025-08-02T00:22:28.181398
E01004073,221882135955260,27.608744303385418,deeplearning,segformer,868496,3145728,2025-08-02T00:22:29.550216
E01004073,858331975036965,27.98328399658203,deeplearning,segformer,880278,3145728,2025-08-02T00:22:30.907122
E01004073,1129718447541788,17.96318689982096,deeplearning,segformer,565073,3145728,2025-08-02T00:22:32.272878
E01004073,507931663582399,20.68007787068685,deeplearning,segformer,650539,3145728,2025-08-02T00:22:33.643934
E01004073,749404346506909,24.61090087890625,deeplearning,segformer,774192,3145728,2025-08-02T00:22:35.014594
E01004073,372424664124092,16.547552744547524,deeplearning,segformer,520541,3145728,2025-08-02T00:22:36.422145
E01004073,819271665638808,46.65966033935547,deeplearning,segformer,1467786,3145728,2025-08-02T00:22:37.789699
E01004073,177936067541502,12.58840560913086,deeplearning,segformer,395997,3145728,2025-08-02T00:22:39.158782
E01004073,1205710023204339,31.108633677164715,deeplearning,segformer,978593,3145728,2025-08-02T00:22:40.525541
E01004073,316932180045508,30.52523930867513,deeplearning,segformer,960241,3145728,2025-08-02T00:22:41.902290
E01004073,512123019795495,25.49568812052409,deeplearning,segformer,802025,3145728,2025-08-02T00:22:43.274975
E01004073,296277891950098,43.30078125,deeplearning,segformer,166275,384000,2025-08-02T00:22:43.957008
E01004073,1193187064470784,12.343788146972656,deeplearning,segformer,388302,3145728,2025-08-02T00:22:45.346090
E01004073,1168159110298058,24.391841888427734,deeplearning,segformer,767301,3145728,2025-08-02T00:22:46.715486
E01004073,805229920129701,20.832856496175133,deeplearning,segformer,655345,3145728,2025-08-02T00:22:48.106206
E01004073,763055888197715,6.263446807861328,deeplearning,segformer,197031,3145728,2025-08-02T00:22:49.471616
E01004073,501518131276321,25.711886088053387,deeplearning,segformer,808826,3145728,2025-08-02T00:22:50.842614
E01004073,1763712327134101,9.704303741455078,deeplearning,segformer,305271,3145728,2025-08-02T00:22:52.230492
E01004073,419511473229809,53.20660273234049,deeplearning,segformer,1673735,3145728,2025-08-02T00:22:53.602425
E01004073,443301650590996,12.763404846191406,deeplearning,segformer,401502,3145728,2025-08-02T00:22:54.972910
E01004073,492801928719748,27.132415771484375,deeplearning,segformer,853512,3145728,2025-08-02T00:22:56.339938
E01004073,301829511428759,34.135595957438156,deeplearning,segformer,1073813,3145728,2025-08-02T00:22:57.708966
E01004073,163928235673734,21.28566106160482,deeplearning,segformer,669589,3145728,2025-08-02T00:22:59.097918
E01004073,1432407090449479,53.168646494547524,deeplearning,segformer,1672541,3145728,2025-08-02T00:23:00.482199
E01004073,836327653906178,20.90400060017904,deeplearning,segformer,657583,3145728,2025-08-02T00:23:01.856538
E01004073,216396806605835,23.64546457926432,deeplearning,segformer,743822,3145728,2025-08-02T00:23:03.235525
E01004073,154090576660300,22.727012634277344,deeplearning,segformer,714930,3145728,2025-08-02T00:23:04.613215
E01004073,5322860021132481,12.165673573811848,deeplearning,segformer,382699,3145728,2025-08-02T00:23:06.026316
E01004073,482612439731170,29.772281646728516,deeplearning,segformer,936555,3145728,2025-08-02T00:23:07.411408
E01004073,296022561996709,48.46102396647136,deeplearning,segformer,1524452,3145728,2025-08-02T00:23:08.785399
E01004073,398516604444125,22.85362879435221,deeplearning,segformer,718913,3145728,2025-08-02T00:23:10.147154
E01004073,786722278899669,35.37480036417644,deeplearning,segformer,1112795,3145728,2025-08-02T00:23:11.524535
E01004073,1115736208929398,13.049443562825521,deeplearning,segformer,410500,3145728,2025-08-02T00:23:12.904137
